username,user_id,rt_user,rt_count
01EGH,611133230,PhilAMellows:,4
01EGH,611133230,isanseba:,4
01EGH,611133230,AlfonsoRojoPD:,3
01EGH,611133230,FroilLannister:,4
01EGH,611133230,GirautaOficial:,2
01EGH,611133230,hermanntertsch:,10
01EGH,611133230,NacionDigital2:,3
01EGH,611133230,01EGH:,2
01EGH,611133230,matthewbennett:,2
01EGH,611133230,LaLupaJudicial:,2
01EGH,611133230,Igarrigavaz:,2
01EGH,611133230,VidalQuadras:,2
01EGH,611133230,elconfidencial:,3
01EGH,611133230,Carmensastre12:,3
01EGH,611133230,Jorge_Vilches:,2
01EGH,611133230,pigdemont_:,4
01EGH,611133230,IdiazAyuso:,3
01EGH,611133230,CristinaSegui_:,3
01EGH,611133230,thecentenator:,2
01EGH,611133230,clubdeviernes:,4
01EGH,611133230,lugaricano:,2
01EGH,611133230,Tonicanto1:,2
01EGH,611133230,Jorgebuxade:,3
01EGH,611133230,yolandacmorin:,2
01EGH,611133230,numer344:,2
01EGH,611133230,detrastrastras:,4
01EGH,611133230,spiriman:,5
01EGH,611133230,Isabelperezmoi1:,2
01EGH,611133230,JosPastr:,2
01EGH,611133230,LagartoRojo1974:,3
01EGH,611133230,ElAguijon_:,8
01EGH,611133230,bea_fanjul:,2
01EGH,611133230,elindepcom:,2
01EGH,611133230,elmundoes:,2
01EGH,611133230,crpandemonium:,8
01EGH,611133230,ldpsincomplejos:,10
01EGH,611133230,sanchezcasrejon:,2
01EGH,611133230,CasoAislado_Es:,3
01EGH,611133230,eduardoinda:,2
0ct100,348274968,ismaelquesada:,2
0ct100,348274968,RafaGue69946892:,2
0ct100,348274968,MarioNoyaM:,2
0ct100,348274968,sheypolo:,4
0ct100,348274968,alfonso_ussia:,3
0ct100,348274968,rimbaudarth:,2
0ct100,348274968,hermanntertsch:,3
0ct100,348274968,QuiqueVal:,2
0ct100,348274968,rosadiezglez:,2
0ct100,348274968,Alvisepf:,8
0ct100,348274968,GirautaOficial:,2
0ct100,348274968,Santi_ABASCAL:,2
0ct100,348274968,ldpsincomplejos:,2
0ct100,348274968,JJRuiz791:,2
0ct100,348274968,JuanfraEscudero:,4
0ct100,348274968,JOSEMANUELSOTO1:,2
0ct100,348274968,carlesenric:,2
0ct100,348274968,JosPastr:,11
0ct100,348274968,alonso_dm:,5
0ct100,348274968,BECAES_:,4
0ct100,348274968,javiernegre10:,2
0ct100,348274968,wallstwolverine:,2
0ct100,348274968,MattSagan117:,2
0ct100,348274968,crpandemonium:,2
0ct100,348274968,NicoBolivariano:,2
0ct100,348274968,tabarniaBCN:,3
0ct100,348274968,vox_es:,2
0ct100,348274968,WillyTolerdoo:,3
0ct100,348274968,telojurojoder:,3
0ct100,348274968,doctora_fecca:,2
0ct100,348274968,Mazzinguerzett1:,3
123Dmaritza,2676594511,WillyTolerdoo:,4
123Dmaritza,2676594511,MiNuevoY0:,2
123Dmaritza,2676594511,RalMore21893626:,2
123Dmaritza,2676594511,cakealatake:,2
123Dmaritza,2676594511,marubimo:,2
123Dmaritza,2676594511,spiriman:,2
123Dmaritza,2676594511,EugeniodOrs_:,6
123Dmaritza,2676594511,hermanntertsch:,2
123Dmaritza,2676594511,elazotedelmedi1:,2
123Dmaritza,2676594511,NicoBolivariano:,3
123Dmaritza,2676594511,Anonymous_TA:,3
123Dmaritza,2676594511,c_escipion:,2
123Dmaritza,2676594511,pigdemont_:,3
123Dmaritza,2676594511,ddeschouw:,4
123Dmaritza,2676594511,JuanfraEscudero:,2
123Dmaritza,2676594511,GuajeSalvaje:,2
123Dmaritza,2676594511,carlesenric:,2
123Dmaritza,2676594511,ldpsincomplejos:,2
123Dmaritza,2676594511,EstadoDAlarmaTV:,3
123Dmaritza,2676594511,navedelmisterio:,6
123Dmaritza,2676594511,crpandemonium:,2
123Dmaritza,2676594511,_esther_sanz:,2
123Dmaritza,2676594511,pablocast13:,3
123Dmaritza,2676594511,Rafa_Hernando:,2
123Dmaritza,2676594511,CristinaSegui_:,4
123Dmaritza,2676594511,jmdelalamo:,2
123Dmaritza,2676594511,El_Richal_:,3
123Dmaritza,2676594511,JosPastr:,2
123Dmaritza,2676594511,carloscuestaEM:,2
123Dmaritza,2676594511,carmenporter_:,3
123Dmaritza,2676594511,IdiazAyuso:,2
123Dmaritza,2676594511,mejoreszasca:,2
1_2_3_otra_vez,918757206379593728,JosPastr:,7
1_2_3_otra_vez,918757206379593728,iBarbarellah:,3
1_2_3_otra_vez,918757206379593728,FroilLannister:,3
1_2_3_otra_vez,918757206379593728,hermanntertsch:,4
1_2_3_otra_vez,918757206379593728,Alvisepf:,17
1_2_3_otra_vez,918757206379593728,eduardoinda:,2
1_2_3_otra_vez,918757206379593728,ivanedlm:,6
1_2_3_otra_vez,918757206379593728,FSerranoCastro:,7
1_2_3_otra_vez,918757206379593728,rosadiezglez:,4
1_2_3_otra_vez,918757206379593728,JupolNacional:,2
1_2_3_otra_vez,918757206379593728,Macarena_Olona:,10
1_2_3_otra_vez,918757206379593728,gonnassau:,2
1_2_3_otra_vez,918757206379593728,monasterioR:,3
1_2_3_otra_vez,918757206379593728,EugeniodOrs_:,3
1_2_3_otra_vez,918757206379593728,ldpsincomplejos:,2
1_2_3_otra_vez,918757206379593728,Santi_ABASCAL:,7
1_2_3_otra_vez,918757206379593728,janogarcia_:,2
1_2_3_otra_vez,918757206379593728,JOSEMANUELSOTO1:,2
1_2_3_otra_vez,918757206379593728,rromerovilches:,2
1_2_3_otra_vez,918757206379593728,Jorgebuxade:,3
1_2_3_otra_vez,918757206379593728,VOX_Congreso:,5
1_2_3_otra_vez,918757206379593728,alfonso_ussia:,3
1_2_3_otra_vez,918757206379593728,_RuizBartolome:,2
1_2_3_otra_vez,918757206379593728,Mazzinguerzett1:,3
1_2_3_otra_vez,918757206379593728,joseramirezdel2:,2
1_2_3_otra_vez,918757206379593728,vox_es:,22
125Jok,1145222056956649472,jmlopezzafra:,2
125Jok,1145222056956649472,pedropcelis:,2
125Jok,1145222056956649472,diegodelacruz:,7
125Jok,1145222056956649472,manuel_llamas:,14
125Jok,1145222056956649472,dlacalle:,8
125Jok,1145222056956649472,juanrallo:,10
125Jok,1145222056956649472,Absolutexe:,6
125Jok,1145222056956649472,velardedaoiz2:,8
125Jok,1145222056956649472,crpandemonium:,7
125Jok,1145222056956649472,tabarniaBCN:,2
125Jok,1145222056956649472,libre_mercado:,2
125Jok,1145222056956649472,matthewbennett:,6
125Jok,1145222056956649472,ddeschouw:,4
125Jok,1145222056956649472,CovitePV:,3
125Jok,1145222056956649472,ldpsincomplejos:,24
125Jok,1145222056956649472,carmelojorda:,2
125Jok,1145222056956649472,rimbaudarth:,2
125Jok,1145222056956649472,PhilAMellows:,3
125Jok,1145222056956649472,CristinaSegui_:,12
125Jok,1145222056956649472,Tonicanto1:,2
125Jok,1145222056956649472,F_Sanchez_Drago:,2
125Jok,1145222056956649472,vox_es:,6
125Jok,1145222056956649472,hermanntertsch:,2
125Jok,1145222056956649472,JovenEuropeo:,2
125Jok,1145222056956649472,okdiario:,31
125Jok,1145222056956649472,Monolocus:,10
125Jok,1145222056956649472,PedroOtamendi:,2
125Jok,1145222056956649472,Lentejitas:,3
125Jok,1145222056956649472,rosadiezglez:,4
125Jok,1145222056956649472,valkiria642:,2
125Jok,1145222056956649472,El_Richal_:,6
125Jok,1145222056956649472,carlesenric:,3
125Jok,1145222056956649472,unchinodechina:,2
125Jok,1145222056956649472,libertaddigital:,3
125Jok,1145222056956649472,lorenzoamor_ata:,2
125Jok,1145222056956649472,JosPastr:,7
125Jok,1145222056956649472,ElPais_Today:,3
125Jok,1145222056956649472,numer344:,2
125Jok,1145222056956649472,Alvisepf:,9
125Jok,1145222056956649472,gonnassau:,2
125Jok,1145222056956649472,ElAguijon_:,21
125Jok,1145222056956649472,elmundoes:,4
125Jok,1145222056956649472,guidoprincesa:,2
13calless,898312523031695360,Alvisepf,2
13calless,898312523031695360,LauraBorras,4
13calless,898312523031695360,GuajeSalvaje,2
13calless,898312523031695360,davidsantosvlog:,2
13calless,898312523031695360,wallapop,6
13calless,898312523031695360,IreneMontero,3
13calless,898312523031695360,AlbanoDante76,10
13calless,898312523031695360,Ivaningrado,2
13calless,898312523031695360,Alvisepf:,9
13calless,898312523031695360,QuimTorraiPla,3
13calless,898312523031695360,ClaraPonsati,3
13calless,898312523031695360,CCivicaCatalana,2
13calless,898312523031695360,el_pais,2
13calless,898312523031695360,CCivicaCatalana:,4
13calless,898312523031695360,Mazzinguerzett1,2
13calless,898312523031695360,okdiario:,2
13calless,898312523031695360,pnique,6
13calless,898312523031695360,GuajeSalvaje:,4
13calless,898312523031695360,Sophistidomme,2
13calless,898312523031695360,josepcosta,3
13calless,898312523031695360,rubnpulido,3
13calless,898312523031695360,okdiario,5
13calless,898312523031695360,ddeschouw,2
13calless,898312523031695360,agarzon,2
13calless,898312523031695360,Boimorto4,2
18dejulio36,1693478581,GirautaOficial:,3
18dejulio36,1693478581,rosadiezglez:,3
18dejulio36,1693478581,MariaV_Iberica1:,2
18dejulio36,1693478581,CHIQUITAREINONA:,2
18dejulio36,1693478581,Alejandro_vara:,2
18dejulio36,1693478581,cmcava:,2
18dejulio36,1693478581,desamparadosb:,8
18dejulio36,1693478581,guardiacivil:,2
18dejulio36,1693478581,platonchacal:,2
18dejulio36,1693478581,vox_es:,2
18dejulio36,1693478581,SanPadrePioPiet:,3
18dejulio36,1693478581,novomedinilla:,3
18dejulio36,1693478581,sonia_riverogc:,3
18dejulio36,1693478581,ipeutrera:,2
18dejulio36,1693478581,AgustinRosety:,2
18dejulio36,1693478581,ElAguijon_:,2
18dejulio36,1693478581,alfonso_ussia:,4
18dejulio36,1693478581,gancho213:,2
18dejulio36,1693478581,Mazinguer88:,2
18dejulio36,1693478581,AlfonsoRojoPD:,2
18dejulio36,1693478581,AdopcionFelinas:,3
18dejulio36,1693478581,Santi_ABASCAL:,2
18dejulio36,1693478581,silviaromera1:,3
18dejulio36,1693478581,CuelebreA:,2
18dejulio36,1693478581,Walter_White72:,2
18dejulio36,1693478581,aurorab933:,2
18dejulio36,1693478581,bugambilla26:,2
18dejulio36,1693478581,ldpsincomplejos:,8
18dejulio36,1693478581,Paty93168077:,2
1afc1973,418809901,GonBernardos,2
1afc1973,418809901,Miotroyo2parte:,4
1afc1973,418809901,IdiazAyuso:,4
1afc1973,418809901,abc_conocer,2
1afc1973,418809901,ldpsincomplejos:,5
1afc1973,418809901,pilar_diz:,7
1afc1973,418809901,abc_es,2
1afc1973,418809901,dlacalle:,2
1afc1973,418809901,EstadoDAlarmaTV:,3
1afc1973,418809901,Alejandro_vara:,2
1afc1973,418809901,PilarGGranja:,2
1afc1973,418809901,carlota_c_00:,4
1afc1973,418809901,carlesenric:,11
1afc1973,418809901,LaGallina_:,3
1afc1973,418809901,AntonioRNaranjo:,2
1afc1973,418809901,matthewbennett:,6
1afc1973,418809901,cakealatake:,2
1afc1973,418809901,martinvars:,2
1afc1973,418809901,F_Sanchez_Drago:,2
1afc1973,418809901,jg_dominguez:,2
1afc1973,418809901,abc_es:,3
1afc1973,418809901,NoSoyLaGente:,7
1afc1973,418809901,JosPastr:,15
1afc1973,418809901,TabarniaSur:,3
1afc1973,418809901,carloscuestaEM:,2
1afc1973,418809901,MiquelGimenezG1:,3
1afc1973,418809901,yolandacmorin:,2
1afc1973,418809901,javiernegre10:,2
1afc1973,418809901,manuel_llamas:,3
1afc1973,418809901,DolcaCatalunya:,7
1afc1973,418809901,rosadiezglez:,10
1afc1973,418809901,JorgeBustos1:,7
1afc1973,418809901,hermanntertsch:,14
1afc1973,418809901,pablocasado_:,2
1afc1973,418809901,cultrun:,2
1afc1973,418809901,libertaddigital:,3
1afc1973,418809901,Tonicanto1:,5
1afc1973,418809901,GirautaOficial:,4
1afc1973,418809901,FrayJosepho:,2
1afc1973,418809901,jaimeberenguer:,11
1afc1973,418809901,MarioNoyaM:,2
1afc1973,418809901,MarcosdeQuinto:,2
1afc1973,418809901,PedroOtamendi:,2
1afc1973,418809901,isanseba:,4
1afc1973,418809901,diazvillanueva:,2
1afc1973,418809901,VidalQuadras:,3
1afc1973,418809901,janogarcia_:,2
1afc1973,418809901,crpandemonium:,8
1afc1973,418809901,Alvisepf:,2
1afc1973,418809901,Esprituindomab1:,4
1afc1973,418809901,Levante78:,2
1afc1973,418809901,jmlopezzafra:,2
1afc1973,418809901,ManhattanManOne:,2
1afc1973,418809901,jmdelalamo:,5
1afc1973,418809901,carmelojorda:,5
1juampis,289567008,perezreverte,2
1juampis,289567008,El_Richal_,2
1juampis,289567008,ldpsincomplejos:,3
1juampis,289567008,vox_es:,3
1juampis,289567008,JosPastr:,2
1juampis,289567008,numer344:,3
1juampis,289567008,Santi_ABASCAL:,2
1juampis,289567008,alonso_dm,2
1juampis,289567008,Miotroyo2parte:,3
1juampis,289567008,PhilAMellows:,2
1juampis,289567008,perezreverte:,4
1juampis,289567008,PerdigueroSIPEp,3
1juampis,289567008,AlfonsoRojoPD,3
1juampis,289567008,JVSantacreu:,3
1juampis,289567008,WillyTolerdoo,3
1juampis,289567008,Clara_Serra_,2
1juampis,289567008,albasenve,2
1juampis,289567008,jg_dominguez,6
