id,username,text,source,tweet_created_at
1979467116,"""bruabu""","RT @SerranoAlfonso: Ahí va el infumable audio: (se ha insertado el audio en un fondo negro para poder subirlo, es la única modificación suf…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:27:42Z
1979467116,"""bruabu""","RT @SerranoAlfonso: Se sabrá quienes son, aunque se escondan. Si al menos fueran de cara como el PSM que directamente culpa a Ayuso de 1.00…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:26:55Z
1979467116,"""bruabu""","RT @SerranoAlfonso: Hay que denunciarlo. A esa izquierda que pide lealtad (y silencio) ante el Gobierno de España, pero no la tiene en su p…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:26:49Z
1979467116,"""bruabu""","RT @SerranoAlfonso: Pero la intención viene al final. No es la sanidad, ni el virus, ni los fallecidos, ni los profesionales. Pide poner la…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:26:32Z
1979467116,"""bruabu""","RT @SerranoAlfonso: Si todo esto no fuera suficiente, enseguida se le ve el plumero:

Pasa de, en Madrid “tenemos el gobierno que tenemos”…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:26:05Z
1979467116,"""bruabu""","RT @SerranoAlfonso: 3. Y habla de IFEMA y de las “UVIs cerradas” en el Infanta Sofía cuando son UCIs y no, no están cerradas como ya quedó…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:25:47Z
1979467116,"""bruabu""","RT @SerranoAlfonso: Usar el resto en su estado actual sería una auténtica temeridad, no sólo para los pacientes sino también para los propi…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:25:30Z
1979467116,"""bruabu""","RT @SerranoAlfonso: Parte del antiguo Hospital tiene uso por el Ministerio de Defensa: son el Instituto de Vivienda, Infraestructura y Equi…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:25:18Z
1979467116,"""bruabu""","RT @SerranoAlfonso: Y para rehabilitar el pabellón 8, el volumen de camas posibles a instalar allí sería mínimo en comparación con la inver…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:25:07Z
1979467116,"""bruabu""","RT @SerranoAlfonso: Sería una insensatez rehabilitar ahora unas instalaciones desmanteladas y obsoletas desde hace siete años, sin equipami…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2020-03-31T02:24:55Z
