count,username,name,user_id,trunc_date
41,01EGH,Eusebio Gonzalez,611133230,2020-03-31T11:00:00Z
16,01EGH,Eusebio Gonzalez,611133230,2020-03-31T04:00:00Z
53,01EGH,Eusebio Gonzalez,611133230,2020-03-31T03:00:00Z
16,01EGH,Eusebio Gonzalez,611133230,2020-03-30T15:00:00Z
13,01EGH,Eusebio Gonzalez,611133230,2020-03-30T14:00:00Z
18,01EGH,Eusebio Gonzalez,611133230,2020-03-30T11:00:00Z
24,01EGH,Eusebio Gonzalez,611133230,2020-03-30T10:00:00Z
12,123Dmaritza,Mari23,2676594511,2020-03-30T19:00:00Z
12,123Dmaritza,Mari23,2676594511,2020-03-30T15:00:00Z
13,123Dmaritza,Mari23,2676594511,2020-03-30T14:00:00Z
40,123Dmaritza,Mari23,2676594511,2020-03-30T11:00:00Z
17,123Dmaritza,Mari23,2676594511,2020-03-30T00:00:00Z
26,125Jok,Jok_125,1145222056956649472,2020-03-30T21:00:00Z
11,125Jok,Jok_125,1145222056956649472,2020-03-30T20:00:00Z
13,1juampis,1juampis,289567008,2020-03-30T20:00:00Z
23,1qaz10841651,⚫ 1qaz.,1214550950280605701,2020-03-31T11:00:00Z
45,1qaz10841651,⚫ 1qaz.,1214550950280605701,2020-03-31T10:00:00Z
15,1qaz10841651,⚫ 1qaz.,1214550950280605701,2020-03-31T09:00:00Z
25,1qaz10841651,⚫ 1qaz.,1214550950280605701,2020-03-31T08:00:00Z
73,1qaz10841651,⚫ 1qaz.,1214550950280605701,2020-03-30T21:00:00Z
58,2_alternativa,LA ALTERNATIVA 2,1238938784542138374,2020-03-31T00:00:00Z
23,2_alternativa,LA ALTERNATIVA 2,1238938784542138374,2020-03-30T23:00:00Z
43,2_alternativa,LA ALTERNATIVA 2,1238938784542138374,2020-03-30T21:00:00Z
27,2_alternativa,LA ALTERNATIVA 2,1238938784542138374,2020-03-30T20:00:00Z
67,2_alternativa,LA ALTERNATIVA 2,1238938784542138374,2020-03-30T19:00:00Z
12,Aa55054050,Aa,1241252011187855360,2020-03-30T06:00:00Z
